AircraftID,Name,FullDesignation,Manufacturer,FirstIntroduced,CountryOfOrigin,MaxSpeed,Range,ServiceCeiling,EngineType,Weight,Dimensions,Role,SurveillanceCapable,NuclearCapable,WeaponsPayload,TransportCapacity,Operators,CombatHistory,NotableMissions,ActiveService,Comparison,BetterThan,StealthCapable,DifferenceFrom,MannedOrUnmanned,InterestingFacts,UniqueFeatures
Mirage2000,Mirage2000 Name,Mirage2000 Full Designation,Boeing,2020,France,2931 km/h,11283 km,22610 m,Rotary,"52875 kg (empty), 120809 kg (max)","36 m length, 54 m wingspan",Surveillance,No,No,Bombs,57 personnel or 4587 kg cargo,"France, Germany",No,Mirage2000 participated in major operations.,No,Mirage2000 is often compared with F35.,Mirage2000 is better than older gen aircraft.,Yes,Mirage2000 differs from Su34 in design and avionics.,Unmanned,Mirage2000 has unique stealth tech.,Mirage2000 supports vertical takeoff or special radar systems.
U2,U2 Name,U2 Full Designation,Sukhoi,1980,France,1319 km/h,7242 km,24551 m,Turboprop,"61838 kg (empty), 61111 kg (max)","24 m length, 45 m wingspan",Transport,No,No,Bombs,77 personnel or 25115 kg cargo,"Russia, China",Yes,U2 participated in major operations.,No,U2 is often compared with F35.,U2 is better than older gen aircraft.,No,U2 differs from Su34 in design and avionics.,Manned,U2 has unique stealth tech.,U2 supports vertical takeoff or special radar systems.
Mig31,Mig31 Name,Mig31 Full Designation,Dassault,2010,USA,1449 km/h,9887 km,22035 m,Rotary,"50766 kg (empty), 132037 kg (max)","17 m length, 17 m wingspan",Bomber,No,Yes,Missiles,61 personnel or 41806 kg cargo,"France, Germany",Yes,Mig31 participated in major operations.,No,Mig31 is often compared with F35.,Mig31 is better than older gen aircraft.,Yes,Mig31 differs from Su34 in design and avionics.,Manned,Mig31 has unique stealth tech.,Mig31 supports vertical takeoff or special radar systems.
WZ7,WZ7 Name,WZ7 Full Designation,Lockheed Martin,2010,China,2367 km/h,6984 km,15359 m,Rotary,"21180 kg (empty), 59539 kg (max)","40 m length, 53 m wingspan",Fighter,Yes,No,Torpedoes,68 personnel or 27396 kg cargo,Global,No,WZ7 participated in major operations.,No,WZ7 is often compared with F35.,WZ7 is better than older gen aircraft.,Yes,WZ7 differs from Su34 in design and avionics.,Unmanned,WZ7 has unique stealth tech.,WZ7 supports vertical takeoff or special radar systems.
Vulcan,Vulcan Name,Vulcan Full Designation,Lockheed Martin,2005,USA,1184 km/h,10642 km,16368 m,Turboprop,"76746 kg (empty), 94040 kg (max)","34 m length, 33 m wingspan",Transport,No,Yes,Bombs,57 personnel or 34308 kg cargo,"Russia, China",No,Vulcan participated in major operations.,Yes,Vulcan is often compared with F35.,Vulcan is better than older gen aircraft.,Yes,Vulcan differs from Su34 in design and avionics.,Manned,Vulcan has unique stealth tech.,Vulcan supports vertical takeoff or special radar systems.
CL415,CL415 Name,CL415 Full Designation,Lockheed Martin,2010,UK,2950 km/h,13514 km,20933 m,Turbojet,"46041 kg (empty), 38690 kg (max)","28 m length, 26 m wingspan",Surveillance,Yes,No,Missiles,61 personnel or 39225 kg cargo,"USA, UK",Yes,CL415 participated in major operations.,Yes,CL415 is often compared with F35.,CL415 is better than older gen aircraft.,Yes,CL415 differs from Su34 in design and avionics.,Unmanned,CL415 has unique stealth tech.,CL415 supports vertical takeoff or special radar systems.
Z10,Z10 Name,Z10 Full Designation,Airbus,2020,China,2557 km/h,4954 km,10508 m,Turbojet,"42313 kg (empty), 57633 kg (max)","25 m length, 53 m wingspan",Reconnaissance,No,Yes,Missiles,31 personnel or 37904 kg cargo,"France, Germany",Yes,Z10 participated in major operations.,No,Z10 is often compared with F35.,Z10 is better than older gen aircraft.,Yes,Z10 differs from Su34 in design and avionics.,Unmanned,Z10 has unique stealth tech.,Z10 supports vertical takeoff or special radar systems.
A400M,A400M Name,A400M Full Designation,Lockheed Martin,2020,France,1299 km/h,2586 km,15382 m,Turboprop,"51396 kg (empty), 117099 kg (max)","27 m length, 50 m wingspan",Reconnaissance,Yes,Yes,Bombs,21 personnel or 42178 kg cargo,"France, Germany",No,A400M participated in major operations.,Yes,A400M is often compared with F35.,A400M is better than older gen aircraft.,No,A400M differs from Su34 in design and avionics.,Unmanned,A400M has unique stealth tech.,A400M supports vertical takeoff or special radar systems.
Su34,Su34 Name,Su34 Full Designation,Sukhoi,2005,China,1877 km/h,10417 km,20280 m,Turbojet,"54326 kg (empty), 51016 kg (max)","18 m length, 46 m wingspan",Fighter,Yes,No,Bombs,90 personnel or 43358 kg cargo,Global,No,Su34 participated in major operations.,No,Su34 is often compared with F35.,Su34 is better than older gen aircraft.,No,Su34 differs from Su34 in design and avionics.,Unmanned,Su34 has unique stealth tech.,Su34 supports vertical takeoff or special radar systems.
Y20,Y20 Name,Y20 Full Designation,Lockheed Martin,1980,China,2853 km/h,3386 km,20992 m,Rotary,"65971 kg (empty), 59858 kg (max)","40 m length, 43 m wingspan",Surveillance,Yes,Yes,Machine Guns,42 personnel or 6804 kg cargo,"Russia, China",Yes,Y20 participated in major operations.,No,Y20 is often compared with F35.,Y20 is better than older gen aircraft.,No,Y20 differs from Su34 in design and avionics.,Unmanned,Y20 has unique stealth tech.,Y20 supports vertical takeoff or special radar systems.
KJ600,KJ600 Name,KJ600 Full Designation,Chengdu,2020,Russia,2088 km/h,12852 km,21785 m,Turbofan,"19635 kg (empty), 48675 kg (max)","11 m length, 23 m wingspan",Bomber,Yes,Yes,Machine Guns,94 personnel or 1255 kg cargo,"France, Germany",No,KJ600 participated in major operations.,No,KJ600 is often compared with F35.,KJ600 is better than older gen aircraft.,No,KJ600 differs from Su34 in design and avionics.,Unmanned,KJ600 has unique stealth tech.,KJ600 supports vertical takeoff or special radar systems.
Mig29,Mig29 Name,Mig29 Full Designation,Airbus,2010,Russia,2345 km/h,3202 km,13345 m,Turbojet,"38711 kg (empty), 57788 kg (max)","26 m length, 30 m wingspan",Reconnaissance,Yes,Yes,Torpedoes,55 personnel or 39281 kg cargo,"France, Germany",No,Mig29 participated in major operations.,Yes,Mig29 is often compared with F35.,Mig29 is better than older gen aircraft.,No,Mig29 differs from Su34 in design and avionics.,Unmanned,Mig29 has unique stealth tech.,Mig29 supports vertical takeoff or special radar systems.
B2,B2 Name,B2 Full Designation,Airbus,1980,Russia,877 km/h,4391 km,19972 m,Turbojet,"70196 kg (empty), 66421 kg (max)","39 m length, 15 m wingspan",Reconnaissance,Yes,No,Machine Guns,2 personnel or 22269 kg cargo,"USA, UK",No,B2 participated in major operations.,No,B2 is often compared with F35.,B2 is better than older gen aircraft.,No,B2 differs from Su34 in design and avionics.,Manned,B2 has unique stealth tech.,B2 supports vertical takeoff or special radar systems.
F14,F14 Name,F14 Full Designation,Chengdu,2010,China,2844 km/h,9827 km,17725 m,Rotary,"51727 kg (empty), 133366 kg (max)","29 m length, 51 m wingspan",Transport,Yes,No,Machine Guns,94 personnel or 37371 kg cargo,Global,No,F14 participated in major operations.,Yes,F14 is often compared with F35.,F14 is better than older gen aircraft.,No,F14 differs from Su34 in design and avionics.,Unmanned,F14 has unique stealth tech.,F14 supports vertical takeoff or special radar systems.
Il76,Il76 Name,Il76 Full Designation,Lockheed Martin,2005,USA,1458 km/h,10853 km,12780 m,Turbojet,"70977 kg (empty), 52669 kg (max)","36 m length, 52 m wingspan",Bomber,No,Yes,Machine Guns,17 personnel or 29491 kg cargo,"Russia, China",No,Il76 participated in major operations.,Yes,Il76 is often compared with F35.,Il76 is better than older gen aircraft.,No,Il76 differs from Su34 in design and avionics.,Unmanned,Il76 has unique stealth tech.,Il76 supports vertical takeoff or special radar systems.
F35,F35 Name,F35 Full Designation,Chengdu,1980,Russia,2659 km/h,13105 km,21565 m,Turboprop,"77395 kg (empty), 86672 kg (max)","31 m length, 41 m wingspan",Reconnaissance,No,No,Machine Guns,51 personnel or 48806 kg cargo,"USA, UK",No,F35 participated in major operations.,Yes,F35 is often compared with F35.,F35 is better than older gen aircraft.,No,F35 differs from Su34 in design and avionics.,Unmanned,F35 has unique stealth tech.,F35 supports vertical takeoff or special radar systems.
B1,B1 Name,B1 Full Designation,Airbus,2020,Russia,2351 km/h,2865 km,24854 m,Turbojet,"50392 kg (empty), 39870 kg (max)","21 m length, 20 m wingspan",Surveillance,Yes,Yes,Machine Guns,6 personnel or 49480 kg cargo,"USA, UK",No,B1 participated in major operations.,No,B1 is often compared with F35.,B1 is better than older gen aircraft.,Yes,B1 differs from Su34 in design and avionics.,Manned,B1 has unique stealth tech.,B1 supports vertical takeoff or special radar systems.
AG600,AG600 Name,AG600 Full Designation,Sukhoi,2020,UK,1886 km/h,10281 km,17005 m,Rotary,"15923 kg (empty), 49494 kg (max)","40 m length, 51 m wingspan",Reconnaissance,Yes,No,Machine Guns,97 personnel or 4946 kg cargo,"USA, UK",Yes,AG600 participated in major operations.,No,AG600 is often compared with F35.,AG600 is better than older gen aircraft.,No,AG600 differs from Su34 in design and avionics.,Unmanned,AG600 has unique stealth tech.,AG600 supports vertical takeoff or special radar systems.
Ka52,Ka52 Name,Ka52 Full Designation,Airbus,2020,USA,1577 km/h,12198 km,20509 m,Turbofan,"66965 kg (empty), 140188 kg (max)","30 m length, 50 m wingspan",Reconnaissance,Yes,Yes,Bombs,41 personnel or 26749 kg cargo,Global,Yes,Ka52 participated in major operations.,No,Ka52 is often compared with F35.,Ka52 is better than older gen aircraft.,Yes,Ka52 differs from Su34 in design and avionics.,Manned,Ka52 has unique stealth tech.,Ka52 supports vertical takeoff or special radar systems.
JF17,JF17 Name,JF17 Full Designation,Sukhoi,1995,Russia,1321 km/h,6497 km,10231 m,Turboprop,"79664 kg (empty), 144655 kg (max)","33 m length, 22 m wingspan",Fighter,Yes,No,Bombs,13 personnel or 49601 kg cargo,"USA, UK",No,JF17 participated in major operations.,No,JF17 is often compared with F35.,JF17 is better than older gen aircraft.,Yes,JF17 differs from Su34 in design and avionics.,Manned,JF17 has unique stealth tech.,JF17 supports vertical takeoff or special radar systems.
C130,C130 Name,C130 Full Designation,Boeing,1980,China,1188 km/h,8175 km,23770 m,Turbojet,"47714 kg (empty), 110607 kg (max)","38 m length, 41 m wingspan",Bomber,No,No,Machine Guns,94 personnel or 9829 kg cargo,Global,Yes,C130 participated in major operations.,Yes,C130 is often compared with F35.,C130 is better than older gen aircraft.,Yes,C130 differs from Su34 in design and avionics.,Manned,C130 has unique stealth tech.,C130 supports vertical takeoff or special radar systems.
Rafale,Rafale Name,Rafale Full Designation,Chengdu,1980,UK,2184 km/h,3205 km,15373 m,Turbofan,"67335 kg (empty), 138798 kg (max)","22 m length, 52 m wingspan",Fighter,Yes,No,Bombs,21 personnel or 24781 kg cargo,Global,Yes,Rafale participated in major operations.,Yes,Rafale is often compared with F35.,Rafale is better than older gen aircraft.,Yes,Rafale differs from Su34 in design and avionics.,Manned,Rafale has unique stealth tech.,Rafale supports vertical takeoff or special radar systems.
KF21,KF21 Name,KF21 Full Designation,Sukhoi,2010,Russia,2151 km/h,7553 km,23036 m,Rotary,"31842 kg (empty), 59036 kg (max)","38 m length, 19 m wingspan",Fighter,No,No,Torpedoes,33 personnel or 14245 kg cargo,Global,No,KF21 participated in major operations.,Yes,KF21 is often compared with F35.,KF21 is better than older gen aircraft.,Yes,KF21 differs from Su34 in design and avionics.,Manned,KF21 has unique stealth tech.,KF21 supports vertical takeoff or special radar systems.
Ka27,Ka27 Name,Ka27 Full Designation,Boeing,2005,Russia,2697 km/h,2131 km,12459 m,Turbofan,"35331 kg (empty), 89329 kg (max)","20 m length, 45 m wingspan",Reconnaissance,Yes,No,Torpedoes,19 personnel or 20814 kg cargo,Global,No,Ka27 participated in major operations.,Yes,Ka27 is often compared with F35.,Ka27 is better than older gen aircraft.,No,Ka27 differs from Su34 in design and avionics.,Unmanned,Ka27 has unique stealth tech.,Ka27 supports vertical takeoff or special radar systems.
KC135,KC135 Name,KC135 Full Designation,Lockheed Martin,1980,USA,2668 km/h,12189 km,24898 m,Turboprop,"59372 kg (empty), 53486 kg (max)","14 m length, 60 m wingspan",Bomber,No,Yes,Bombs,85 personnel or 28475 kg cargo,"France, Germany",Yes,KC135 participated in major operations.,No,KC135 is often compared with F35.,KC135 is better than older gen aircraft.,No,KC135 differs from Su34 in design and avionics.,Manned,KC135 has unique stealth tech.,KC135 supports vertical takeoff or special radar systems.
An225,An225 Name,An225 Full Designation,Airbus,2010,China,2938 km/h,2156 km,22470 m,Turbojet,"66228 kg (empty), 53793 kg (max)","12 m length, 44 m wingspan",Reconnaissance,Yes,No,Missiles,77 personnel or 42817 kg cargo,"Russia, China",No,An225 participated in major operations.,Yes,An225 is often compared with F35.,An225 is better than older gen aircraft.,Yes,An225 differs from Su34 in design and avionics.,Unmanned,An225 has unique stealth tech.,An225 supports vertical takeoff or special radar systems.
P3,P3 Name,P3 Full Designation,Airbus,2020,USA,956 km/h,7122 km,22700 m,Turbojet,"31077 kg (empty), 131231 kg (max)","23 m length, 34 m wingspan",Transport,Yes,Yes,Bombs,19 personnel or 4821 kg cargo,Global,No,P3 participated in major operations.,No,P3 is often compared with F35.,P3 is better than older gen aircraft.,Yes,P3 differs from Su34 in design and avionics.,Unmanned,P3 has unique stealth tech.,P3 supports vertical takeoff or special radar systems.
Tornado,Tornado Name,Tornado Full Designation,Dassault,2020,UK,1317 km/h,4156 km,24478 m,Turbojet,"67486 kg (empty), 142614 kg (max)","27 m length, 35 m wingspan",Reconnaissance,Yes,Yes,Torpedoes,73 personnel or 8842 kg cargo,"Russia, China",Yes,Tornado participated in major operations.,No,Tornado is often compared with F35.,Tornado is better than older gen aircraft.,No,Tornado differs from Su34 in design and avionics.,Unmanned,Tornado has unique stealth tech.,Tornado supports vertical takeoff or special radar systems.
C2,C2 Name,C2 Full Designation,Dassault,2010,France,2982 km/h,13602 km,16972 m,Turbojet,"45918 kg (empty), 110222 kg (max)","35 m length, 57 m wingspan",Fighter,Yes,No,Machine Guns,49 personnel or 23736 kg cargo,Global,Yes,C2 participated in major operations.,No,C2 is often compared with F35.,C2 is better than older gen aircraft.,No,C2 differs from Su34 in design and avionics.,Unmanned,C2 has unique stealth tech.,C2 supports vertical takeoff or special radar systems.
B52,B52 Name,B52 Full Designation,Lockheed Martin,2005,France,1395 km/h,8238 km,24297 m,Turboprop,"70475 kg (empty), 143749 kg (max)","18 m length, 28 m wingspan",Fighter,No,Yes,Torpedoes,99 personnel or 47463 kg cargo,"USA, UK",No,B52 participated in major operations.,No,B52 is often compared with F35.,B52 is better than older gen aircraft.,Yes,B52 differs from Su34 in design and avionics.,Manned,B52 has unique stealth tech.,B52 supports vertical takeoff or special radar systems.
CH47,CH47 Name,CH47 Full Designation,Sukhoi,2020,USA,1582 km/h,14183 km,17683 m,Turbofan,"55603 kg (empty), 60233 kg (max)","19 m length, 52 m wingspan",Surveillance,No,No,Missiles,13 personnel or 11050 kg cargo,Global,Yes,CH47 participated in major operations.,No,CH47 is often compared with F35.,CH47 is better than older gen aircraft.,No,CH47 differs from Su34 in design and avionics.,Unmanned,CH47 has unique stealth tech.,CH47 supports vertical takeoff or special radar systems.
A10,A10 Name,A10 Full Designation,Boeing,1995,UK,2905 km/h,7527 km,17572 m,Turbojet,"59471 kg (empty), 70075 kg (max)","25 m length, 22 m wingspan",Surveillance,Yes,Yes,Bombs,54 personnel or 42510 kg cargo,"Russia, China",No,A10 participated in major operations.,No,A10 is often compared with F35.,A10 is better than older gen aircraft.,No,A10 differs from Su34 in design and avionics.,Unmanned,A10 has unique stealth tech.,A10 supports vertical takeoff or special radar systems.
E7,E7 Name,E7 Full Designation,Airbus,1980,UK,2923 km/h,9220 km,14721 m,Turbojet,"62305 kg (empty), 113766 kg (max)","35 m length, 23 m wingspan",Bomber,Yes,No,Machine Guns,57 personnel or 49437 kg cargo,"Russia, China",Yes,E7 participated in major operations.,No,E7 is often compared with F35.,E7 is better than older gen aircraft.,No,E7 differs from Su34 in design and avionics.,Manned,E7 has unique stealth tech.,E7 supports vertical takeoff or special radar systems.
AV8B,AV8B Name,AV8B Full Designation,Airbus,1980,USA,1338 km/h,6841 km,23195 m,Rotary,"77180 kg (empty), 73982 kg (max)","20 m length, 47 m wingspan",Surveillance,No,Yes,Bombs,70 personnel or 14445 kg cargo,Global,Yes,AV8B participated in major operations.,Yes,AV8B is often compared with F35.,AV8B is better than older gen aircraft.,No,AV8B differs from Su34 in design and avionics.,Unmanned,AV8B has unique stealth tech.,AV8B supports vertical takeoff or special radar systems.
KAAN,KAAN Name,KAAN Full Designation,Sukhoi,1980,China,2496 km/h,10953 km,21075 m,Turbofan,"43037 kg (empty), 145091 kg (max)","11 m length, 20 m wingspan",Reconnaissance,No,No,Torpedoes,34 personnel or 29468 kg cargo,"France, Germany",Yes,KAAN participated in major operations.,Yes,KAAN is often compared with F35.,KAAN is better than older gen aircraft.,Yes,KAAN differs from Su34 in design and avionics.,Manned,KAAN has unique stealth tech.,KAAN supports vertical takeoff or special radar systems.
F18,F18 Name,F18 Full Designation,Chengdu,1995,UK,2135 km/h,4416 km,18087 m,Turbofan,"42344 kg (empty), 141812 kg (max)","20 m length, 46 m wingspan",Bomber,Yes,No,Machine Guns,81 personnel or 29880 kg cargo,Global,Yes,F18 participated in major operations.,No,F18 is often compared with F35.,F18 is better than older gen aircraft.,No,F18 differs from Su34 in design and avionics.,Manned,F18 has unique stealth tech.,F18 supports vertical takeoff or special radar systems.
EMB314,EMB314 Name,EMB314 Full Designation,Lockheed Martin,1995,Russia,2783 km/h,10225 km,19822 m,Turboprop,"31819 kg (empty), 113462 kg (max)","17 m length, 46 m wingspan",Surveillance,Yes,Yes,Machine Guns,36 personnel or 40531 kg cargo,"France, Germany",No,EMB314 participated in major operations.,No,EMB314 is often compared with F35.,EMB314 is better than older gen aircraft.,No,EMB314 differs from Su34 in design and avionics.,Manned,EMB314 has unique stealth tech.,EMB314 supports vertical takeoff or special radar systems.
UH60,UH60 Name,UH60 Full Designation,Sukhoi,2010,France,1612 km/h,4125 km,23711 m,Turboprop,"43090 kg (empty), 114259 kg (max)","31 m length, 40 m wingspan",Fighter,No,No,Torpedoes,62 personnel or 31536 kg cargo,"USA, UK",No,UH60 participated in major operations.,No,UH60 is often compared with F35.,UH60 is better than older gen aircraft.,No,UH60 differs from Su34 in design and avionics.,Unmanned,UH60 has unique stealth tech.,UH60 supports vertical takeoff or special radar systems.
Z19,Z19 Name,Z19 Full Designation,Chengdu,1995,UK,1892 km/h,3084 km,16321 m,Turbojet,"36748 kg (empty), 100121 kg (max)","23 m length, 35 m wingspan",Bomber,Yes,Yes,Machine Guns,6 personnel or 49562 kg cargo,Global,Yes,Z19 participated in major operations.,No,Z19 is often compared with F35.,Z19 is better than older gen aircraft.,No,Z19 differs from Su34 in design and avionics.,Manned,Z19 has unique stealth tech.,Z19 supports vertical takeoff or special radar systems.
V280,V280 Name,V280 Full Designation,Lockheed Martin,1995,China,979 km/h,7640 km,12898 m,Turboprop,"18825 kg (empty), 91432 kg (max)","26 m length, 25 m wingspan",Fighter,No,Yes,Missiles,30 personnel or 23659 kg cargo,"Russia, China",No,V280 participated in major operations.,Yes,V280 is often compared with F35.,V280 is better than older gen aircraft.,No,V280 differs from Su34 in design and avionics.,Manned,V280 has unique stealth tech.,V280 supports vertical takeoff or special radar systems.
C5,C5 Name,C5 Full Designation,Dassault,2010,USA,2992 km/h,14397 km,21263 m,Turbojet,"65463 kg (empty), 85707 kg (max)","27 m length, 49 m wingspan",Transport,Yes,No,Machine Guns,97 personnel or 23696 kg cargo,"USA, UK",No,C5 participated in major operations.,Yes,C5 is often compared with F35.,C5 is better than older gen aircraft.,No,C5 differs from Su34 in design and avionics.,Manned,C5 has unique stealth tech.,C5 supports vertical takeoff or special radar systems.
JH7,JH7 Name,JH7 Full Designation,Boeing,2005,France,1671 km/h,11835 km,14603 m,Turboprop,"77159 kg (empty), 39401 kg (max)","22 m length, 44 m wingspan",Surveillance,Yes,Yes,Bombs,19 personnel or 23374 kg cargo,"USA, UK",Yes,JH7 participated in major operations.,Yes,JH7 is often compared with F35.,JH7 is better than older gen aircraft.,No,JH7 differs from Su34 in design and avionics.,Unmanned,JH7 has unique stealth tech.,JH7 supports vertical takeoff or special radar systems.
F117,F117 Name,F117 Full Designation,Lockheed Martin,1980,France,2752 km/h,12269 km,21914 m,Turbofan,"77275 kg (empty), 142180 kg (max)","14 m length, 23 m wingspan",Transport,No,No,Torpedoes,65 personnel or 20961 kg cargo,"Russia, China",Yes,F117 participated in major operations.,Yes,F117 is often compared with F35.,F117 is better than older gen aircraft.,Yes,F117 differs from Su34 in design and avionics.,Unmanned,F117 has unique stealth tech.,F117 supports vertical takeoff or special radar systems.
V22,V22 Name,V22 Full Designation,Sukhoi,1995,UK,2102 km/h,12574 km,15614 m,Turboprop,"72554 kg (empty), 79390 kg (max)","33 m length, 26 m wingspan",Fighter,No,Yes,Machine Guns,63 personnel or 15405 kg cargo,Global,Yes,V22 participated in major operations.,Yes,V22 is often compared with F35.,V22 is better than older gen aircraft.,Yes,V22 differs from Su34 in design and avionics.,Unmanned,V22 has unique stealth tech.,V22 supports vertical takeoff or special radar systems.
Tu95,Tu95 Name,Tu95 Full Designation,Sukhoi,1995,USA,2807 km/h,5502 km,12034 m,Turbofan,"69988 kg (empty), 105788 kg (max)","34 m length, 40 m wingspan",Surveillance,No,No,Missiles,73 personnel or 32231 kg cargo,"France, Germany",No,Tu95 participated in major operations.,Yes,Tu95 is often compared with F35.,Tu95 is better than older gen aircraft.,Yes,Tu95 differs from Su34 in design and avionics.,Unmanned,Tu95 has unique stealth tech.,Tu95 supports vertical takeoff or special radar systems.
Tu22M,Tu22M Name,Tu22M Full Designation,Sukhoi,1980,Russia,1005 km/h,13977 km,18691 m,Rotary,"65475 kg (empty), 146968 kg (max)","30 m length, 36 m wingspan",Fighter,Yes,Yes,Bombs,2 personnel or 37566 kg cargo,Global,No,Tu22M participated in major operations.,Yes,Tu22M is often compared with F35.,Tu22M is better than older gen aircraft.,Yes,Tu22M differs from Su34 in design and avionics.,Unmanned,Tu22M has unique stealth tech.,Tu22M supports vertical takeoff or special radar systems.
EF2000,EF2000 Name,EF2000 Full Designation,Boeing,2005,France,2754 km/h,12084 km,19973 m,Turbojet,"77159 kg (empty), 137150 kg (max)","40 m length, 29 m wingspan",Bomber,Yes,No,Torpedoes,30 personnel or 47388 kg cargo,"France, Germany",No,EF2000 participated in major operations.,Yes,EF2000 is often compared with F35.,EF2000 is better than older gen aircraft.,Yes,EF2000 differs from Su34 in design and avionics.,Unmanned,EF2000 has unique stealth tech.,EF2000 supports vertical takeoff or special radar systems.
