aircraft_id,question,answer
Mi24,What is the UniqueFeatures of Mi24?,Mi24 supports vertical takeoff or special radar systems.
An124,What is the Name of An124?,An124 Name
An124,What is the FullDesignation of An124?,An124 Full Designation
An124,What is the Manufacturer of An124?,Boeing
An124,What is the FirstIntroduced of An124?,2020
An124,What is the CountryOfOrigin of An124?,UK
An124,What is the MaxSpeed of An124?,1957 km/h
An124,What is the Range of An124?,2197 km
An124,What is the ServiceCeiling of An124?,10523 m
An124,What is the EngineType of An124?,Rotary
An124,What is the Weight of An124?,"55628 kg (empty), 68241 kg (max)"
An124,What is the Dimensions of An124?,"36 m length, 55 m wingspan"
An124,What is the Role of An124?,Fighter
An124,What is the SurveillanceCapable of An124?,Yes
An124,What is the NuclearCapable of An124?,No
An124,What is the WeaponsPayload of An124?,Machine Guns
An124,What is the TransportCapacity of An124?,39 personnel or 39238 kg cargo
An124,What is the Operators of An124?,"USA, UK"
An124,What is the CombatHistory of An124?,Yes
An124,What is the NotableMissions of An124?,An124 participated in major operations.
An124,What is the ActiveService of An124?,No
An124,What is the Comparison of An124?,An124 is often compared with F35.
An124,What is the BetterThan of An124?,An124 is better than older gen aircraft.
An124,What is the StealthCapable of An124?,No
An124,What is the DifferenceFrom of An124?,An124 differs from Su34 in design and avionics.
An124,What is the MannedOrUnmanned of An124?,Manned
An124,What is the InterestingFacts of An124?,An124 has unique stealth tech.
An124,What is the UniqueFeatures of An124?,An124 supports vertical takeoff or special radar systems.
TB2,What is the Name of TB2?,TB2 Name
TB2,What is the FullDesignation of TB2?,TB2 Full Designation
TB2,What is the Manufacturer of TB2?,Sukhoi
TB2,What is the FirstIntroduced of TB2?,1995
TB2,What is the CountryOfOrigin of TB2?,China
TB2,What is the MaxSpeed of TB2?,1088 km/h
TB2,What is the Range of TB2?,8425 km
TB2,What is the ServiceCeiling of TB2?,13678 m
TB2,What is the EngineType of TB2?,Turbojet
TB2,What is the Weight of TB2?,"45460 kg (empty), 140507 kg (max)"
TB2,What is the Dimensions of TB2?,"29 m length, 51 m wingspan"
TB2,What is the Role of TB2?,Reconnaissance
TB2,What is the SurveillanceCapable of TB2?,No
TB2,What is the NuclearCapable of TB2?,No
TB2,What is the WeaponsPayload of TB2?,Bombs
TB2,What is the TransportCapacity of TB2?,23 personnel or 44627 kg cargo
TB2,What is the Operators of TB2?,"France, Germany"
TB2,What is the CombatHistory of TB2?,No
TB2,What is the NotableMissions of TB2?,TB2 participated in major operations.
TB2,What is the ActiveService of TB2?,Yes
TB2,What is the Comparison of TB2?,TB2 is often compared with F35.
TB2,What is the BetterThan of TB2?,TB2 is better than older gen aircraft.
TB2,What is the StealthCapable of TB2?,No
TB2,What is the DifferenceFrom of TB2?,TB2 differs from Su34 in design and avionics.
TB2,What is the MannedOrUnmanned of TB2?,Manned
TB2,What is the InterestingFacts of TB2?,TB2 has unique stealth tech.
TB2,What is the UniqueFeatures of TB2?,TB2 supports vertical takeoff or special radar systems.
Tu160,What is the Name of Tu160?,Tu160 Name
Tu160,What is the FullDesignation of Tu160?,Tu160 Full Designation
Tu160,What is the Manufacturer of Tu160?,Dassault
Tu160,What is the FirstIntroduced of Tu160?,1995
Tu160,What is the CountryOfOrigin of Tu160?,USA
Tu160,What is the MaxSpeed of Tu160?,2144 km/h
Tu160,What is the Range of Tu160?,7668 km
Tu160,What is the ServiceCeiling of Tu160?,22112 m
Tu160,What is the EngineType of Tu160?,Rotary
Tu160,What is the Weight of Tu160?,"25754 kg (empty), 39469 kg (max)"
Tu160,What is the Dimensions of Tu160?,"11 m length, 53 m wingspan"
Tu160,What is the Role of Tu160?,Fighter
Tu160,What is the SurveillanceCapable of Tu160?,No
Tu160,What is the NuclearCapable of Tu160?,Yes
Tu160,What is the WeaponsPayload of Tu160?,Bombs
Tu160,What is the TransportCapacity of Tu160?,31 personnel or 4265 kg cargo
Tu160,What is the Operators of Tu160?,"USA, UK"
Tu160,What is the CombatHistory of Tu160?,Yes
Tu160,What is the NotableMissions of Tu160?,Tu160 participated in major operations.
Tu160,What is the ActiveService of Tu160?,No
Tu160,What is the Comparison of Tu160?,Tu160 is often compared with F35.
Tu160,What is the BetterThan of Tu160?,Tu160 is better than older gen aircraft.
Tu160,What is the StealthCapable of Tu160?,Yes
Tu160,What is the DifferenceFrom of Tu160?,Tu160 differs from Su34 in design and avionics.
Tu160,What is the MannedOrUnmanned of Tu160?,Manned
Tu160,What is the InterestingFacts of Tu160?,Tu160 has unique stealth tech.
Tu160,What is the UniqueFeatures of Tu160?,Tu160 supports vertical takeoff or special radar systems.
Mi26,What is the Name of Mi26?,Mi26 Name
Mi26,What is the FullDesignation of Mi26?,Mi26 Full Designation
Mi26,What is the Manufacturer of Mi26?,Airbus
Mi26,What is the FirstIntroduced of Mi26?,2005
Mi26,What is the CountryOfOrigin of Mi26?,France
Mi26,What is the MaxSpeed of Mi26?,2010 km/h
Mi26,What is the Range of Mi26?,12023 km
Mi26,What is the ServiceCeiling of Mi26?,18319 m
Mi26,What is the EngineType of Mi26?,Turboprop
Mi26,What is the Weight of Mi26?,"40310 kg (empty), 48022 kg (max)"
Mi26,What is the Dimensions of Mi26?,"29 m length, 28 m wingspan"
Mi26,What is the Role of Mi26?,Reconnaissance
Mi26,What is the SurveillanceCapable of Mi26?,Yes
Mi26,What is the NuclearCapable of Mi26?,Yes
Mi26,What is the WeaponsPayload of Mi26?,Torpedoes
Mi26,What is the TransportCapacity of Mi26?,9 personnel or 40896 kg cargo
Mi26,What is the Operators of Mi26?,"France, Germany"
Mi26,What is the CombatHistory of Mi26?,Yes
Mi26,What is the NotableMissions of Mi26?,Mi26 participated in major operations.
Mi26,What is the ActiveService of Mi26?,No
Mi26,What is the Comparison of Mi26?,Mi26 is often compared with F35.
Mi26,What is the BetterThan of Mi26?,Mi26 is better than older gen aircraft.
Mi26,What is the StealthCapable of Mi26?,Yes
Mi26,What is the DifferenceFrom of Mi26?,Mi26 differs from Su34 in design and avionics.
Mi26,What is the MannedOrUnmanned of Mi26?,Unmanned
Mi26,What is the InterestingFacts of Mi26?,Mi26 has unique stealth tech.
Mi26,What is the UniqueFeatures of Mi26?,Mi26 supports vertical takeoff or special radar systems.
RQ4,What is the Name of RQ4?,RQ4 Name
RQ4,What is the FullDesignation of RQ4?,RQ4 Full Designation
RQ4,What is the Manufacturer of RQ4?,Airbus
RQ4,What is the FirstIntroduced of RQ4?,2020
RQ4,What is the CountryOfOrigin of RQ4?,USA
RQ4,What is the MaxSpeed of RQ4?,2509 km/h
RQ4,What is the Range of RQ4?,3276 km
RQ4,What is the ServiceCeiling of RQ4?,22853 m
RQ4,What is the EngineType of RQ4?,Turbojet
RQ4,What is the Weight of RQ4?,"38109 kg (empty), 69320 kg (max)"
RQ4,What is the Dimensions of RQ4?,"38 m length, 59 m wingspan"
RQ4,What is the Role of RQ4?,Reconnaissance
RQ4,What is the SurveillanceCapable of RQ4?,No
RQ4,What is the NuclearCapable of RQ4?,No
RQ4,What is the WeaponsPayload of RQ4?,Bombs
RQ4,What is the TransportCapacity of RQ4?,79 personnel or 18917 kg cargo
RQ4,What is the Operators of RQ4?,"Russia, China"
RQ4,What is the CombatHistory of RQ4?,No
RQ4,What is the NotableMissions of RQ4?,RQ4 participated in major operations.
RQ4,What is the ActiveService of RQ4?,Yes
RQ4,What is the Comparison of RQ4?,RQ4 is often compared with F35.
RQ4,What is the BetterThan of RQ4?,RQ4 is better than older gen aircraft.
RQ4,What is the StealthCapable of RQ4?,Yes
RQ4,What is the DifferenceFrom of RQ4?,RQ4 differs from Su34 in design and avionics.
RQ4,What is the MannedOrUnmanned of RQ4?,Unmanned
RQ4,What is the InterestingFacts of RQ4?,RQ4 has unique stealth tech.
RQ4,What is the UniqueFeatures of RQ4?,RQ4 supports vertical takeoff or special radar systems.
Su25,What is the Name of Su25?,Su25 Name
Su25,What is the FullDesignation of Su25?,Su25 Full Designation
Su25,What is the Manufacturer of Su25?,Airbus
Su25,What is the FirstIntroduced of Su25?,1980
Su25,What is the CountryOfOrigin of Su25?,UK
Su25,What is the MaxSpeed of Su25?,1613 km/h
Su25,What is the Range of Su25?,12970 km
Su25,What is the ServiceCeiling of Su25?,24032 m
Su25,What is the EngineType of Su25?,Turboprop
Su25,What is the Weight of Su25?,"62292 kg (empty), 96322 kg (max)"
Su25,What is the Dimensions of Su25?,"15 m length, 47 m wingspan"
Su25,What is the Role of Su25?,Surveillance
Su25,What is the SurveillanceCapable of Su25?,Yes
Su25,What is the NuclearCapable of Su25?,No
Su25,What is the WeaponsPayload of Su25?,Torpedoes
Su25,What is the TransportCapacity of Su25?,75 personnel or 8598 kg cargo
Su25,What is the Operators of Su25?,"France, Germany"
Su25,What is the CombatHistory of Su25?,Yes
Su25,What is the NotableMissions of Su25?,Su25 participated in major operations.
Su25,What is the ActiveService of Su25?,No
Su25,What is the Comparison of Su25?,Su25 is often compared with F35.
Su25,What is the BetterThan of Su25?,Su25 is better than older gen aircraft.
Su25,What is the StealthCapable of Su25?,Yes
Su25,What is the DifferenceFrom of Su25?,Su25 differs from Su34 in design and avionics.
Su25,What is the MannedOrUnmanned of Su25?,Unmanned
Su25,What is the InterestingFacts of Su25?,Su25 has unique stealth tech.
Su25,What is the UniqueFeatures of Su25?,Su25 supports vertical takeoff or special radar systems.
Mi8,What is the Name of Mi8?,Mi8 Name
Mi8,What is the FullDesignation of Mi8?,Mi8 Full Designation
Mi8,What is the Manufacturer of Mi8?,Dassault
Mi8,What is the FirstIntroduced of Mi8?,1995
Mi8,What is the CountryOfOrigin of Mi8?,Russia
Mi8,What is the MaxSpeed of Mi8?,954 km/h
Mi8,What is the Range of Mi8?,2804 km
Mi8,What is the ServiceCeiling of Mi8?,20063 m
Mi8,What is the EngineType of Mi8?,Turboprop
Mi8,What is the Weight of Mi8?,"32485 kg (empty), 106036 kg (max)"
Mi8,What is the Dimensions of Mi8?,"13 m length, 41 m wingspan"
Mi8,What is the Role of Mi8?,Bomber
Mi8,What is the SurveillanceCapable of Mi8?,No
Mi8,What is the NuclearCapable of Mi8?,No
Mi8,What is the WeaponsPayload of Mi8?,Torpedoes
Mi8,What is the TransportCapacity of Mi8?,95 personnel or 15323 kg cargo
Mi8,What is the Operators of Mi8?,"USA, UK"
Mi8,What is the CombatHistory of Mi8?,Yes
Mi8,What is the NotableMissions of Mi8?,Mi8 participated in major operations.
Mi8,What is the ActiveService of Mi8?,Yes
Mi8,What is the Comparison of Mi8?,Mi8 is often compared with F35.
Mi8,What is the BetterThan of Mi8?,Mi8 is better than older gen aircraft.
Mi8,What is the StealthCapable of Mi8?,No
Mi8,What is the DifferenceFrom of Mi8?,Mi8 differs from Su34 in design and avionics.
Mi8,What is the MannedOrUnmanned of Mi8?,Manned
Mi8,What is the InterestingFacts of Mi8?,Mi8 has unique stealth tech.
Mi8,What is the UniqueFeatures of Mi8?,Mi8 supports vertical takeoff or special radar systems.
Be200,What is the Name of Be200?,Be200 Name
Be200,What is the FullDesignation of Be200?,Be200 Full Designation
Be200,What is the Manufacturer of Be200?,Lockheed Martin
Be200,What is the FirstIntroduced of Be200?,1980
Be200,What is the CountryOfOrigin of Be200?,Russia
Be200,What is the MaxSpeed of Be200?,2031 km/h
Be200,What is the Range of Be200?,7515 km
Be200,What is the ServiceCeiling of Be200?,23699 m
Be200,What is the EngineType of Be200?,Turbojet
Be200,What is the Weight of Be200?,"65485 kg (empty), 31232 kg (max)"
Be200,What is the Dimensions of Be200?,"28 m length, 56 m wingspan"
Be200,What is the Role of Be200?,Transport
Be200,What is the SurveillanceCapable of Be200?,No
Be200,What is the NuclearCapable of Be200?,No
Be200,What is the WeaponsPayload of Be200?,Torpedoes
Be200,What is the TransportCapacity of Be200?,35 personnel or 16005 kg cargo
Be200,What is the Operators of Be200?,Global
Be200,What is the CombatHistory of Be200?,No
Be200,What is the NotableMissions of Be200?,Be200 participated in major operations.
Be200,What is the ActiveService of Be200?,No
Be200,What is the Comparison of Be200?,Be200 is often compared with F35.
Be200,What is the BetterThan of Be200?,Be200 is better than older gen aircraft.
Be200,What is the StealthCapable of Be200?,No
Be200,What is the DifferenceFrom of Be200?,Be200 differs from Su34 in design and avionics.
Be200,What is the MannedOrUnmanned of Be200?,Unmanned
Be200,What is the InterestingFacts of Be200?,Be200 has unique stealth tech.
Be200,What is the UniqueFeatures of Be200?,Be200 supports vertical takeoff or special radar systems.
Mirage2000,What is the Name of Mirage2000?,Mirage2000 Name
Mirage2000,What is the FullDesignation of Mirage2000?,Mirage2000 Full Designation
Mirage2000,What is the Manufacturer of Mirage2000?,Boeing
Mirage2000,What is the FirstIntroduced of Mirage2000?,2020
Mirage2000,What is the CountryOfOrigin of Mirage2000?,France
Mirage2000,What is the MaxSpeed of Mirage2000?,2931 km/h
Mirage2000,What is the Range of Mirage2000?,11283 km
Mirage2000,What is the ServiceCeiling of Mirage2000?,22610 m
Mirage2000,What is the EngineType of Mirage2000?,Rotary
Mirage2000,What is the Weight of Mirage2000?,"52875 kg (empty), 120809 kg (max)"
Mirage2000,What is the Dimensions of Mirage2000?,"36 m length, 54 m wingspan"
Mirage2000,What is the Role of Mirage2000?,Surveillance
Mirage2000,What is the SurveillanceCapable of Mirage2000?,No
Mirage2000,What is the NuclearCapable of Mirage2000?,No
Mirage2000,What is the WeaponsPayload of Mirage2000?,Bombs
Mirage2000,What is the TransportCapacity of Mirage2000?,57 personnel or 4587 kg cargo
Mirage2000,What is the Operators of Mirage2000?,"France, Germany"
Mirage2000,What is the CombatHistory of Mirage2000?,No
Mirage2000,What is the NotableMissions of Mirage2000?,Mirage2000 participated in major operations.
Mirage2000,What is the ActiveService of Mirage2000?,No
Mirage2000,What is the Comparison of Mirage2000?,Mirage2000 is often compared with F35.
Mirage2000,What is the BetterThan of Mirage2000?,Mirage2000 is better than older gen aircraft.
Mirage2000,What is the StealthCapable of Mirage2000?,Yes
Mirage2000,What is the DifferenceFrom of Mirage2000?,Mirage2000 differs from Su34 in design and avionics.
Mirage2000,What is the MannedOrUnmanned of Mirage2000?,Unmanned
Mirage2000,What is the InterestingFacts of Mirage2000?,Mirage2000 has unique stealth tech.
Mirage2000,What is the UniqueFeatures of Mirage2000?,Mirage2000 supports vertical takeoff or special radar systems.
U2,What is the Name of U2?,U2 Name
U2,What is the FullDesignation of U2?,U2 Full Designation
U2,What is the Manufacturer of U2?,Sukhoi
U2,What is the FirstIntroduced of U2?,1980
U2,What is the CountryOfOrigin of U2?,France
U2,What is the MaxSpeed of U2?,1319 km/h
U2,What is the Range of U2?,7242 km
U2,What is the ServiceCeiling of U2?,24551 m
U2,What is the EngineType of U2?,Turboprop
U2,What is the Weight of U2?,"61838 kg (empty), 61111 kg (max)"
U2,What is the Dimensions of U2?,"24 m length, 45 m wingspan"
U2,What is the Role of U2?,Transport
U2,What is the SurveillanceCapable of U2?,No
U2,What is the NuclearCapable of U2?,No
U2,What is the WeaponsPayload of U2?,Bombs
U2,What is the TransportCapacity of U2?,77 personnel or 25115 kg cargo
U2,What is the Operators of U2?,"Russia, China"
U2,What is the CombatHistory of U2?,Yes
U2,What is the NotableMissions of U2?,U2 participated in major operations.
U2,What is the ActiveService of U2?,No
U2,What is the Comparison of U2?,U2 is often compared with F35.
U2,What is the BetterThan of U2?,U2 is better than older gen aircraft.
U2,What is the StealthCapable of U2?,No
U2,What is the DifferenceFrom of U2?,U2 differs from Su34 in design and avionics.
U2,What is the MannedOrUnmanned of U2?,Manned
U2,What is the InterestingFacts of U2?,U2 has unique stealth tech.
U2,What is the UniqueFeatures of U2?,U2 supports vertical takeoff or special radar systems.
Mig31,What is the Name of Mig31?,Mig31 Name
Mig31,What is the FullDesignation of Mig31?,Mig31 Full Designation
Mig31,What is the Manufacturer of Mig31?,Dassault
Mig31,What is the FirstIntroduced of Mig31?,2010
Mig31,What is the CountryOfOrigin of Mig31?,USA
Mig31,What is the MaxSpeed of Mig31?,1449 km/h
Mig31,What is the Range of Mig31?,9887 km
Mig31,What is the ServiceCeiling of Mig31?,22035 m
Mig31,What is the EngineType of Mig31?,Rotary
Mig31,What is the Weight of Mig31?,"50766 kg (empty), 132037 kg (max)"
Mig31,What is the Dimensions of Mig31?,"17 m length, 17 m wingspan"
Mig31,What is the Role of Mig31?,Bomber
Mig31,What is the SurveillanceCapable of Mig31?,No
Mig31,What is the NuclearCapable of Mig31?,Yes
Mig31,What is the WeaponsPayload of Mig31?,Missiles
Mig31,What is the TransportCapacity of Mig31?,61 personnel or 41806 kg cargo
Mig31,What is the Operators of Mig31?,"France, Germany"
Mig31,What is the CombatHistory of Mig31?,Yes
Mig31,What is the NotableMissions of Mig31?,Mig31 participated in major operations.
Mig31,What is the ActiveService of Mig31?,No
Mig31,What is the Comparison of Mig31?,Mig31 is often compared with F35.
Mig31,What is the BetterThan of Mig31?,Mig31 is better than older gen aircraft.
Mig31,What is the StealthCapable of Mig31?,Yes
Mig31,What is the DifferenceFrom of Mig31?,Mig31 differs from Su34 in design and avionics.
Mig31,What is the MannedOrUnmanned of Mig31?,Manned
Mig31,What is the InterestingFacts of Mig31?,Mig31 has unique stealth tech.
Mig31,What is the UniqueFeatures of Mig31?,Mig31 supports vertical takeoff or special radar systems.
WZ7,What is the Name of WZ7?,WZ7 Name
WZ7,What is the FullDesignation of WZ7?,WZ7 Full Designation
WZ7,What is the Manufacturer of WZ7?,Lockheed Martin
WZ7,What is the FirstIntroduced of WZ7?,2010
WZ7,What is the CountryOfOrigin of WZ7?,China
WZ7,What is the MaxSpeed of WZ7?,2367 km/h
WZ7,What is the Range of WZ7?,6984 km
WZ7,What is the ServiceCeiling of WZ7?,15359 m
WZ7,What is the EngineType of WZ7?,Rotary
WZ7,What is the Weight of WZ7?,"21180 kg (empty), 59539 kg (max)"
WZ7,What is the Dimensions of WZ7?,"40 m length, 53 m wingspan"
WZ7,What is the Role of WZ7?,Fighter
WZ7,What is the SurveillanceCapable of WZ7?,Yes
WZ7,What is the NuclearCapable of WZ7?,No
WZ7,What is the WeaponsPayload of WZ7?,Torpedoes
WZ7,What is the TransportCapacity of WZ7?,68 personnel or 27396 kg cargo
WZ7,What is the Operators of WZ7?,Global
WZ7,What is the CombatHistory of WZ7?,No
WZ7,What is the NotableMissions of WZ7?,WZ7 participated in major operations.
WZ7,What is the ActiveService of WZ7?,No
WZ7,What is the Comparison of WZ7?,WZ7 is often compared with F35.
WZ7,What is the BetterThan of WZ7?,WZ7 is better than older gen aircraft.
WZ7,What is the StealthCapable of WZ7?,Yes
WZ7,What is the DifferenceFrom of WZ7?,WZ7 differs from Su34 in design and avionics.
WZ7,What is the MannedOrUnmanned of WZ7?,Unmanned
WZ7,What is the InterestingFacts of WZ7?,WZ7 has unique stealth tech.
WZ7,What is the UniqueFeatures of WZ7?,WZ7 supports vertical takeoff or special radar systems.
Vulcan,What is the Name of Vulcan?,Vulcan Name
Vulcan,What is the FullDesignation of Vulcan?,Vulcan Full Designation
Vulcan,What is the Manufacturer of Vulcan?,Lockheed Martin
Vulcan,What is the FirstIntroduced of Vulcan?,2005
Vulcan,What is the CountryOfOrigin of Vulcan?,USA
Vulcan,What is the MaxSpeed of Vulcan?,1184 km/h
Vulcan,What is the Range of Vulcan?,10642 km
Vulcan,What is the ServiceCeiling of Vulcan?,16368 m
Vulcan,What is the EngineType of Vulcan?,Turboprop
Vulcan,What is the Weight of Vulcan?,"76746 kg (empty), 94040 kg (max)"
Vulcan,What is the Dimensions of Vulcan?,"34 m length, 33 m wingspan"
Vulcan,What is the Role of Vulcan?,Transport
Vulcan,What is the SurveillanceCapable of Vulcan?,No
Vulcan,What is the NuclearCapable of Vulcan?,Yes
Vulcan,What is the WeaponsPayload of Vulcan?,Bombs
Vulcan,What is the TransportCapacity of Vulcan?,57 personnel or 34308 kg cargo
Vulcan,What is the Operators of Vulcan?,"Russia, China"
Vulcan,What is the CombatHistory of Vulcan?,No
Vulcan,What is the NotableMissions of Vulcan?,Vulcan participated in major operations.
Vulcan,What is the ActiveService of Vulcan?,Yes
Vulcan,What is the Comparison of Vulcan?,Vulcan is often compared with F35.
Vulcan,What is the BetterThan of Vulcan?,Vulcan is better than older gen aircraft.
Vulcan,What is the StealthCapable of Vulcan?,Yes
Vulcan,What is the DifferenceFrom of Vulcan?,Vulcan differs from Su34 in design and avionics.
Vulcan,What is the MannedOrUnmanned of Vulcan?,Manned
Vulcan,What is the InterestingFacts of Vulcan?,Vulcan has unique stealth tech.
Vulcan,What is the UniqueFeatures of Vulcan?,Vulcan supports vertical takeoff or special radar systems.
CL415,What is the Name of CL415?,CL415 Name
CL415,What is the FullDesignation of CL415?,CL415 Full Designation
CL415,What is the Manufacturer of CL415?,Lockheed Martin
CL415,What is the FirstIntroduced of CL415?,2010
CL415,What is the CountryOfOrigin of CL415?,UK
CL415,What is the MaxSpeed of CL415?,2950 km/h
CL415,What is the Range of CL415?,13514 km
CL415,What is the ServiceCeiling of CL415?,20933 m
CL415,What is the EngineType of CL415?,Turbojet
CL415,What is the Weight of CL415?,"46041 kg (empty), 38690 kg (max)"
CL415,What is the Dimensions of CL415?,"28 m length, 26 m wingspan"
CL415,What is the Role of CL415?,Surveillance
CL415,What is the SurveillanceCapable of CL415?,Yes
CL415,What is the NuclearCapable of CL415?,No
CL415,What is the WeaponsPayload of CL415?,Missiles
CL415,What is the TransportCapacity of CL415?,61 personnel or 39225 kg cargo
CL415,What is the Operators of CL415?,"USA, UK"
CL415,What is the CombatHistory of CL415?,Yes
CL415,What is the NotableMissions of CL415?,CL415 participated in major operations.
CL415,What is the ActiveService of CL415?,Yes
CL415,What is the Comparison of CL415?,CL415 is often compared with F35.
CL415,What is the BetterThan of CL415?,CL415 is better than older gen aircraft.
CL415,What is the StealthCapable of CL415?,Yes
CL415,What is the DifferenceFrom of CL415?,CL415 differs from Su34 in design and avionics.
CL415,What is the MannedOrUnmanned of CL415?,Unmanned
CL415,What is the InterestingFacts of CL415?,CL415 has unique stealth tech.
CL415,What is the UniqueFeatures of CL415?,CL415 supports vertical takeoff or special radar systems.
Z10,What is the Name of Z10?,Z10 Name
Z10,What is the FullDesignation of Z10?,Z10 Full Designation
Z10,What is the Manufacturer of Z10?,Airbus
Z10,What is the FirstIntroduced of Z10?,2020
Z10,What is the CountryOfOrigin of Z10?,China
Z10,What is the MaxSpeed of Z10?,2557 km/h
Z10,What is the Range of Z10?,4954 km
Z10,What is the ServiceCeiling of Z10?,10508 m
Z10,What is the EngineType of Z10?,Turbojet
Z10,What is the Weight of Z10?,"42313 kg (empty), 57633 kg (max)"
Z10,What is the Dimensions of Z10?,"25 m length, 53 m wingspan"
Z10,What is the Role of Z10?,Reconnaissance
Z10,What is the SurveillanceCapable of Z10?,No
Z10,What is the NuclearCapable of Z10?,Yes
Z10,What is the WeaponsPayload of Z10?,Missiles
Z10,What is the TransportCapacity of Z10?,31 personnel or 37904 kg cargo
Z10,What is the Operators of Z10?,"France, Germany"
Z10,What is the CombatHistory of Z10?,Yes
Z10,What is the NotableMissions of Z10?,Z10 participated in major operations.
Z10,What is the ActiveService of Z10?,No
Z10,What is the Comparison of Z10?,Z10 is often compared with F35.
Z10,What is the BetterThan of Z10?,Z10 is better than older gen aircraft.
Z10,What is the StealthCapable of Z10?,Yes
Z10,What is the DifferenceFrom of Z10?,Z10 differs from Su34 in design and avionics.
Z10,What is the MannedOrUnmanned of Z10?,Unmanned
Z10,What is the InterestingFacts of Z10?,Z10 has unique stealth tech.
Z10,What is the UniqueFeatures of Z10?,Z10 supports vertical takeoff or special radar systems.
A400M,What is the Name of A400M?,A400M Name
A400M,What is the FullDesignation of A400M?,A400M Full Designation
A400M,What is the Manufacturer of A400M?,Lockheed Martin
A400M,What is the FirstIntroduced of A400M?,2020
A400M,What is the CountryOfOrigin of A400M?,France
A400M,What is the MaxSpeed of A400M?,1299 km/h
A400M,What is the Range of A400M?,2586 km
A400M,What is the ServiceCeiling of A400M?,15382 m
A400M,What is the EngineType of A400M?,Turboprop
A400M,What is the Weight of A400M?,"51396 kg (empty), 117099 kg (max)"
A400M,What is the Dimensions of A400M?,"27 m length, 50 m wingspan"
A400M,What is the Role of A400M?,Reconnaissance
A400M,What is the SurveillanceCapable of A400M?,Yes
A400M,What is the NuclearCapable of A400M?,Yes
A400M,What is the WeaponsPayload of A400M?,Bombs
A400M,What is the TransportCapacity of A400M?,21 personnel or 42178 kg cargo
A400M,What is the Operators of A400M?,"France, Germany"
A400M,What is the CombatHistory of A400M?,No
A400M,What is the NotableMissions of A400M?,A400M participated in major operations.
A400M,What is the ActiveService of A400M?,Yes
A400M,What is the Comparison of A400M?,A400M is often compared with F35.
A400M,What is the BetterThan of A400M?,A400M is better than older gen aircraft.
A400M,What is the StealthCapable of A400M?,No
A400M,What is the DifferenceFrom of A400M?,A400M differs from Su34 in design and avionics.
